,p,d,q,P,D,Q,AIC,BIC
0,0.0,0.0,2.0,1.0,0.0,3.0,-930.0894215551324,-861.4350719822812
0,0.0,0.0,2.0,1.0,1.0,0.0,-857.8144014040663,-800.9191972783042
0,0.0,0.0,2.0,1.0,1.0,1.0,-883.024788527596,-822.3365707934497
0,0.0,0.0,2.0,1.0,1.0,2.0,-881.0244775198139,-816.5432461772834
0,0.0,0.0,2.0,1.0,1.0,3.0,-879.1747643515316,-810.900519400617
0,0.0,0.0,2.0,1.0,2.0,0.0,-601.9426444862261,-545.3710276392758
0,0.0,0.0,2.0,1.0,2.0,1.0,-798.3753298355015,-738.0322718654212
0,0.0,0.0,2.0,1.0,2.0,2.0,-778.0543637767144,-713.9398646835041
0,0.0,0.0,2.0,1.0,2.0,3.0,-814.8664951457839,-746.9805549294437
0,0.0,0.0,3.0,0.0,0.0,0.0,-902.3283453934105,-845.1163874160345
0,0.0,0.0,3.0,0.0,0.0,1.0,-920.3832275360398,-859.3571390268388
0,0.0,0.0,3.0,0.0,0.0,2.0,-924.4982408160196,-859.6580217749935
0,0.0,0.0,3.0,0.0,0.0,3.0,-943.3533460695523,-874.6989964967012
0,0.0,0.0,3.0,0.0,1.0,0.0,-807.7569108986113,-750.8617067728492
0,0.0,0.0,3.0,0.0,1.0,1.0,-905.2970376944097,-844.6088199602634
0,0.0,0.0,3.0,0.0,1.0,2.0,-903.3289962251553,-838.8477648826248
0,0.0,0.0,3.0,0.0,1.0,3.0,-901.3604323376384,-833.0861873867237
0,0.0,0.0,3.0,0.0,2.0,0.0,-470.39605430728466,-413.8244374603344
0,0.0,0.0,3.0,0.0,2.0,1.0,-753.4741801905556,-693.1311222204753
0,0.0,0.0,3.0,0.0,2.0,2.0,-836.2383297272887,-772.1238306340784
0,0.0,0.0,3.0,0.0,2.0,3.0,-834.36148210699,-766.4755418906498
0,0.0,0.0,3.0,1.0,0.0,0.0,-928.7328270726848,-867.7067385634838
0,0.0,0.0,3.0,1.0,0.0,1.0,-946.3195145795023,-881.4792955384762
0,0.0,0.0,3.0,1.0,0.0,2.0,-946.0294246094812,-877.37507503663
0,0.0,0.0,3.0,1.0,0.0,3.0,-948.2913512797456,-875.8228711750694
0,0.0,0.0,3.0,1.0,1.0,0.0,-869.1251063237971,-808.4368885896508
0,0.0,0.0,3.0,1.0,1.0,1.0,-903.3283107550918,-838.8470794125614
0,0.0,0.0,3.0,1.0,1.0,2.0,-901.3204158651014,-833.0461709141867
0,0.0,0.0,3.0,1.0,1.0,3.0,-899.6118269609485,-827.5445684016498
0,0.0,0.0,3.0,1.0,2.0,0.0,-604.347634670004,-544.0045766999237
0,0.0,0.0,3.0,1.0,2.0,1.0,-805.6613772331136,-741.5468781399034
0,0.0,0.0,3.0,1.0,2.0,2.0,-833.5062866411603,-765.62034642482
0,0.0,0.0,3.0,1.0,2.0,3.0,-831.7542296726128,-760.0968483331426
0,0.0,0.0,4.0,0.0,0.0,0.0,-914.0338698802163,-853.0077813710153
0,0.0,0.0,4.0,0.0,0.0,1.0,-924.0919322390992,-859.251713198073
0,0.0,0.0,4.0,0.0,0.0,2.0,-928.0751101847891,-859.4207606119379
0,0.0,0.0,4.0,0.0,0.0,3.0,-945.0972107186847,-872.6287306140084
0,0.0,0.0,4.0,0.0,1.0,0.0,-815.5325411713616,-754.8443234372153
0,0.0,0.0,4.0,0.0,1.0,1.0,-907.67367546524,-843.1924441227095
0,0.0,0.0,4.0,0.0,1.0,2.0,-906.1989608421427,-837.9247158912281
0,0.0,0.0,4.0,0.0,1.0,3.0,-904.2458737822267,-832.178615222928
0,0.0,0.0,4.0,0.0,2.0,0.0,-529.0750422684852,-468.7319842984049
0,0.0,0.0,4.0,0.0,2.0,1.0,-681.0274396174416,-616.9129405242313
0,0.0,0.0,4.0,0.0,2.0,2.0,-838.2369467339988,-770.3510065176586
0,0.0,0.0,4.0,0.0,2.0,3.0,-837.0397192017547,-765.3823378622844
0,0.0,0.0,4.0,1.0,0.0,0.0,-929.7902681266071,-864.950049085581
0,0.0,0.0,4.0,1.0,0.0,1.0,-947.4399677210918,-878.7856181482406
0,0.0,0.0,4.0,1.0,0.0,2.0,-948.6850665056716,-876.2165864009953
0,0.0,0.0,4.0,1.0,0.0,3.0,-950.8026499361845,-874.5200392996832
0,0.0,0.0,4.0,1.0,1.0,0.0,-868.0426393335572,-803.5614079910267
0,0.0,0.0,4.0,1.0,1.0,1.0,-906.0139000640906,-837.739655113176
0,0.0,0.0,4.0,1.0,1.0,2.0,-904.1202080240436,-832.0529494647449
0,0.0,0.0,4.0,1.0,1.0,3.0,-902.5600544681969,-826.699782300514
0,0.0,0.0,4.0,1.0,2.0,0.0,-632.4607809690546,-568.3462818758443
0,0.0,0.0,4.0,1.0,2.0,1.0,-806.5294569196022,-738.643516703262
0,0.0,0.0,4.0,1.0,2.0,2.0,-820.5928124052139,-748.9354310657436
0,0.0,0.0,4.0,1.0,2.0,3.0,-834.1076808058145,-758.6788583432142
0,0.0,0.0,5.0,0.0,0.0,0.0,-922.0450051561274,-857.2047861151013
0,0.0,0.0,5.0,0.0,0.0,1.0,-929.5653272489836,-860.9109776761325
0,0.0,0.0,5.0,0.0,0.0,2.0,-932.110993011841,-859.6425129071647
0,0.0,0.0,5.0,0.0,0.0,3.0,-947.093908666836,-870.8112980303347
0,0.0,0.0,5.0,0.0,1.0,0.0,-810.7575639342682,-746.2763325917377
0,0.0,0.0,5.0,0.0,1.0,1.0,-910.700267248749,-842.4260222978344
0,0.0,0.0,5.0,0.0,1.0,2.0,-909.1093995576987,-837.0421409984
0,0.0,0.0,5.0,0.0,1.0,3.0,-907.1997471141331,-831.3394749464502
0,0.0,0.0,5.0,0.0,2.0,0.0,-568.5166858120865,-504.40218671887624
0,0.0,0.0,5.0,0.0,2.0,1.0,-754.5053033260413,-686.619363109701
0,0.0,0.0,5.0,0.0,2.0,2.0,-838.6255568823753,-766.9681755429051
0,0.0,0.0,5.0,0.0,2.0,3.0,-838.0042148882255,-762.5753924256252
0,0.0,0.0,5.0,1.0,0.0,0.0,-934.0264918997891,-865.3721423269379
0,0.0,0.0,5.0,1.0,0.0,1.0,-950.6707766855252,-878.202296580849
0,0.0,0.0,5.0,1.0,0.0,2.0,-951.4667455690588,-875.1841349325575
0,0.0,0.0,5.0,1.0,0.0,3.0,-953.5045163370588,-873.4077751687324
0,0.0,0.0,5.0,1.0,1.0,0.0,-867.150250338005,-798.8760053870903
0,0.0,0.0,5.0,1.0,1.0,1.0,-909.0631121603554,-836.9958536010568
0,0.0,0.0,5.0,1.0,1.0,2.0,-907.0135203699874,-831.1532482023046
0,0.0,0.0,5.0,1.0,1.0,3.0,-905.874452712317,-826.2211669362499
0,0.0,0.0,5.0,1.0,2.0,0.0,-626.2471083058629,-558.3611680895226
0,0.0,0.0,5.0,1.0,2.0,1.0,-804.5652921002862,-732.9079107608159
0,0.0,0.0,5.0,1.0,2.0,2.0,-774.9769600043919,-699.5481375417916
0,0.0,0.0,5.0,1.0,2.0,3.0,-836.6188617889643,-757.418598203234
0,0.0,0.0,6.0,0.0,0.0,0.0,-923.1010232676356,-854.4466736947844
0,0.0,0.0,6.0,0.0,0.0,1.0,-947.9567491674513,-875.4882690627751
0,0.0,0.0,6.0,0.0,0.0,2.0,-950.906235832834,-874.6236251963327
0,0.0,0.0,6.0,0.0,0.0,3.0,-967.1930236405644,-887.096282472238
0,0.0,0.0,6.0,0.0,1.0,0.0,-913.4136098266383,-845.1393648757237
0,0.0,0.0,6.0,0.0,1.0,1.0,-932.6255387640476,-860.5582802047489
0,0.0,0.0,6.0,0.0,1.0,2.0,-934.0018238315986,-858.1415516639157
0,0.0,0.0,6.0,0.0,1.0,3.0,-932.6555692783894,-853.0022835023224
0,0.0,0.0,6.0,0.0,2.0,0.0,-686.072973298988,-618.1870330826478
0,0.0,0.0,6.0,0.0,2.0,1.0,-841.2435387799168,-769.5861574404464
0,0.0,0.0,6.0,0.0,2.0,2.0,-850.3794457262753,-774.950623263675
0,0.0,0.0,6.0,0.0,2.0,3.0,-848.6018373065978,-769.4015737208674
0,0.0,0.0,6.0,1.0,0.0,0.0,-967.7764502294605,-895.3079701247842
0,0.0,0.0,6.0,1.0,0.0,1.0,-977.9516688399758,-901.6690582034745
0,0.0,0.0,6.0,1.0,0.0,2.0,-976.7201949479078,-896.6234537795814
0,0.0,0.0,6.0,1.0,0.0,3.0,-979.5997537343789,-895.6888820342274
0,0.0,0.0,6.0,1.0,1.0,0.0,-917.465325000793,-845.3980664414943
0,0.0,0.0,6.0,1.0,1.0,1.0,-932.7145912634397,-856.8543190957569
0,0.0,0.0,6.0,1.0,1.0,2.0,-931.9509825396378,-852.2976967635708
0,0.0,0.0,6.0,1.0,1.0,3.0,-930.699261908701,-847.2529625242498
0,0.0,0.0,6.0,1.0,2.0,0.0,-757.1806660707825,-685.5232847313123
0,0.0,0.0,6.0,1.0,2.0,1.0,-840.1885814582056,-764.7597589956052
0,0.0,0.0,6.0,1.0,2.0,2.0,-838.706500559677,-759.5062369739467
0,0.0,0.0,6.0,1.0,2.0,3.0,-857.6230547613757,-774.6513500525153
0,0.0,0.0,7.0,0.0,0.0,0.0,-925.6761442699348,-853.2076641652585
0,0.0,0.0,7.0,0.0,0.0,1.0,-946.0984550651001,-869.8158444285988
0,0.0,0.0,7.0,0.0,0.0,2.0,-949.7675852395693,-869.6708440712429
0,0.0,0.0,7.0,0.0,0.0,3.0,-966.7574337950766,-882.8465620949252
0,0.0,0.0,7.0,0.0,1.0,0.0,-925.9337300814792,-853.8664715221805
0,0.0,0.0,7.0,0.0,1.0,1.0,-936.0249999012585,-860.1647277335757
0,0.0,0.0,7.0,0.0,1.0,2.0,-938.5029304881087,-858.8496447120417
0,0.0,0.0,7.0,0.0,1.0,3.0,-937.1901534335284,-853.7438540490772
0,0.0,0.0,7.0,0.0,2.0,0.0,-666.4785934148546,-594.8212120753842
0,0.0,0.0,7.0,0.0,2.0,1.0,-853.5977290722733,-778.168906609673
0,0.0,0.0,7.0,0.0,2.0,2.0,-837.9944274294423,-758.794163843712
0,0.0,0.0,7.0,0.0,2.0,3.0,-837.6893318584579,-754.7176271495975
0,0.0,0.0,7.0,1.0,0.0,0.0,-976.353162641593,-900.0705520050917
0,0.0,0.0,7.0,1.0,0.0,1.0,-982.7469595829648,-902.6502184146384
0,0.0,0.0,7.0,1.0,0.0,2.0,-981.1964185490124,-897.2855468488609
0,0.0,0.0,7.0,1.0,0.0,3.0,-984.6712522626767,-896.9462500307002
0,0.0,0.0,7.0,1.0,1.0,0.0,-930.274813498128,-854.4145413304451
0,0.0,0.0,7.0,1.0,1.0,1.0,-936.3031882102772,-856.6499024342102
0,0.0,0.0,7.0,1.0,1.0,2.0,-935.9606071132167,-852.5143077287655
0,0.0,0.0,7.0,1.0,1.0,3.0,-934.8199853408487,-847.5806723480134
0,0.0,0.0,7.0,1.0,2.0,0.0,-765.6200297900384,-690.1912073274381
0,0.0,0.0,7.0,1.0,2.0,1.0,-851.0294651961027,-771.8292016103724
0,0.0,0.0,7.0,1.0,2.0,2.0,-849.5020291045396,-766.5303243956793
0,0.0,0.0,7.0,1.0,2.0,3.0,-863.5174823614147,-776.7743365294243
0,0.0,0.0,8.0,0.0,0.0,0.0,-929.6578711477523,-853.375260511251
0,0.0,0.0,8.0,0.0,0.0,1.0,-945.2334199342367,-865.1366787659103
0,0.0,0.0,8.0,0.0,0.0,2.0,-948.0055401229683,-864.0946684228169
0,0.0,0.0,8.0,0.0,0.0,3.0,-965.0389570180895,-877.313954786113
0,0.0,0.0,8.0,0.0,1.0,0.0,-932.7878621899464,-856.9275900222635
0,0.0,0.0,8.0,0.0,1.0,1.0,-936.4408001913216,-856.7875144152546
0,0.0,0.0,8.0,0.0,1.0,2.0,-938.3437615346944,-854.8974621502432
0,0.0,0.0,8.0,0.0,1.0,3.0,-937.5242943719559,-850.2849813791206
0,0.0,0.0,8.0,0.0,2.0,0.0,-721.3089427929324,-645.880120330332
0,0.0,0.0,8.0,0.0,2.0,1.0,-858.9571661603858,-779.7569025746554
0,0.0,0.0,8.0,0.0,2.0,2.0,-845.0744925817713,-762.102787872911
0,0.0,0.0,8.0,0.0,2.0,3.0,-844.8217442723659,-758.0785984403756
0,0.0,0.0,8.0,1.0,0.0,0.0,-975.7575016476982,-895.6607604793718
0,0.0,0.0,8.0,1.0,0.0,1.0,-981.9852599308422,-898.0743882306907
0,0.0,0.0,8.0,1.0,0.0,2.0,-980.0473888090683,-892.3223865770917
0,0.0,0.0,8.0,1.0,0.0,3.0,-983.4314009024979,-891.8922681386963
0,0.0,0.0,8.0,1.0,1.0,0.0,-933.807953916451,-854.1546681403839
0,0.0,0.0,8.0,1.0,1.0,1.0,-936.2156051596126,-852.7693057751613
0,0.0,0.0,8.0,1.0,1.0,2.0,-935.4456188357478,-848.2063058429126
0,0.0,0.0,8.0,1.0,1.0,3.0,-935.0784243661877,-844.0460977649683
0,0.0,0.0,8.0,1.0,2.0,0.0,-767.1198525661341,-687.9195889804038
0,0.0,0.0,8.0,1.0,2.0,1.0,-854.3469314033048,-771.3752266944445
0,0.0,0.0,8.0,1.0,2.0,2.0,-853.5156427216607,-766.7724968896703
0,0.0,0.0,8.0,1.0,2.0,3.0,-864.4874816891445,-773.9728947340241
0,0.0,0.0,9.0,0.0,0.0,0.0,-939.0120130513362,-858.9152718830098
0,0.0,0.0,9.0,0.0,0.0,1.0,-945.513583964434,-861.6027122642826
0,0.0,0.0,9.0,0.0,0.0,2.0,-941.792589537331,-854.0675873053544
0,0.0,0.0,9.0,0.0,0.0,3.0,-960.8851240059446,-869.345991242143
0,0.0,0.0,9.0,0.0,1.0,0.0,-942.0197832235624,-862.3664974474954
0,0.0,0.0,9.0,0.0,1.0,1.0,-941.6893864432332,-858.243087058782
0,0.0,0.0,9.0,0.0,1.0,2.0,-939.6258263957475,-852.3865134029122
0,0.0,0.0,9.0,0.0,1.0,3.0,-941.7580556452697,-850.7257290440502
0,0.0,0.0,9.0,0.0,2.0,0.0,-739.7293704890301,-660.5291069032997
0,0.0,0.0,9.0,0.0,2.0,1.0,-866.8319558929727,-783.8602511841124
0,0.0,0.0,9.0,0.0,2.0,2.0,-844.6005885312538,-757.8574426992634
0,0.0,0.0,9.0,0.0,2.0,3.0,-848.8355587008134,-758.320971745693
0,0.0,0.0,9.0,1.0,0.0,0.0,-968.5684654156704,-884.6575937155189
0,0.0,0.0,9.0,1.0,0.0,1.0,-977.9392620324827,-890.2142598005062
0,0.0,0.0,9.0,1.0,0.0,2.0,-964.3529729289888,-872.8138401651872
0,0.0,0.0,9.0,1.0,0.0,3.0,-977.0376133157913,-881.6843500201646
0,0.0,0.0,9.0,1.0,1.0,0.0,-941.355308679215,-857.9090092947638
0,0.0,0.0,9.0,1.0,1.0,1.0,-938.931758383656,-851.6924453908207
0,0.0,0.0,9.0,1.0,1.0,2.0,-937.2498601948034,-846.217533593584
0,0.0,0.0,9.0,1.0,1.0,3.0,-937.3871268865245,-842.5617866769209
0,0.0,0.0,9.0,1.0,2.0,0.0,-789.9240039178803,-706.95229920902
0,0.0,0.0,9.0,1.0,2.0,1.0,-863.1557954622656,-776.4126496302752
0,0.0,0.0,9.0,1.0,2.0,2.0,-862.1351117189174,-771.620524763797
0,0.0,0.0,9.0,1.0,2.0,3.0,-864.970513370839,-770.6844852925885
0,0.0,0.0,10.0,0.0,0.0,0.0,-939.6500246737621,-855.7391529736107
0,0.0,0.0,10.0,0.0,0.0,1.0,-942.5849582330638,-854.8599560010873
0,0.0,0.0,10.0,0.0,0.0,2.0,-944.4788173963154,-852.9396846325138
0,0.0,0.0,10.0,0.0,0.0,3.0,-960.9346516955792,-865.5813883999525
0,0.0,0.0,10.0,0.0,1.0,0.0,-940.7550643338873,-857.3087649494361
0,0.0,0.0,10.0,0.0,1.0,1.0,-939.6188226079335,-852.3795096150982
0,0.0,0.0,10.0,0.0,1.0,2.0,-937.4227343703764,-846.3904077691569
0,0.0,0.0,10.0,0.0,1.0,3.0,-937.7321135478594,-842.9067733382558
0,0.0,0.0,10.0,0.0,2.0,0.0,-741.3585093786087,-658.3868046697484
0,0.0,0.0,10.0,0.0,2.0,1.0,-864.9570668330749,-778.2139210010846
0,0.0,0.0,10.0,0.0,2.0,2.0,-851.9678519224387,-761.4532649673183
0,0.0,0.0,10.0,0.0,2.0,3.0,-857.4411753122888,-763.1551472340384
0,0.0,0.0,10.0,1.0,0.0,0.0,-965.0319100863694,-877.3069078543929
0,0.0,0.0,10.0,1.0,0.0,1.0,-974.4368954199487,-882.897762656147
0,0.0,0.0,10.0,1.0,0.0,2.0,-965.7129152908051,-870.3596519951784
0,0.0,0.0,10.0,1.0,0.0,3.0,-970.3761379500522,-871.2087441226005
0,0.0,0.0,10.0,1.0,1.0,0.0,-939.3720654200846,-852.1327524272492
0,0.0,0.0,10.0,1.0,1.0,1.0,-936.8864979225211,-845.8541713213017
0,0.0,0.0,10.0,1.0,1.0,2.0,-934.8590972292628,-840.0337570196592
0,0.0,0.0,10.0,1.0,1.0,3.0,-935.700549580388,-837.0821957624003
0,0.0,0.0,10.0,1.0,2.0,0.0,-797.4675760877175,-710.7244302557272
0,0.0,0.0,10.0,1.0,2.0,1.0,-861.1843477692905,-770.6697608141701
0,0.0,0.0,10.0,1.0,2.0,2.0,-859.768687293441,-765.4826592151906
0,0.0,0.0,10.0,1.0,2.0,3.0,-863.3027067001465,-765.2452374987661
0,0.0,1.0,0.0,0.0,0.0,0.0,-943.8224685271387,-898.0887766114182
0,0.0,1.0,0.0,0.0,0.0,1.0,-944.1983339924991,-894.653501083802
0,0.0,1.0,0.0,0.0,0.0,2.0,-943.8019715297503,-890.4459976280765
0,0.0,1.0,0.0,0.0,0.0,3.0,-954.2729884246974,-897.1058735300469
0,0.0,1.0,0.0,0.0,1.0,0.0,-739.4565642434983,-693.9770421927312
0,0.0,1.0,0.0,0.0,1.0,1.0,-909.0288993388822,-859.7594171172179
0,0.0,1.0,0.0,0.0,1.0,2.0,-907.6228871313523,-854.5634447387907
0,0.0,1.0,0.0,0.0,1.0,3.0,-905.8650570284572,-849.0156544649983
0,0.0,1.0,0.0,0.0,2.0,0.0,-383.51309316050293,-338.29324121097767
0,0.0,1.0,0.0,0.0,2.0,1.0,-687.5264893019691,-638.5383163566501
0,0.0,1.0,0.0,0.0,2.0,2.0,-830.7606470868016,-778.0041531456887
0,0.0,1.0,0.0,0.0,2.0,3.0,-831.0725156247418,-774.5477006878352
0,0.0,1.0,0.0,1.0,0.0,0.0,-944.6218164920671,-895.07698358337
0,0.0,1.0,0.0,1.0,0.0,1.0,-953.5290270112093,-900.1730531095355
0,0.0,1.0,0.0,1.0,0.0,2.0,-954.7801933785722,-897.6130784839218
0,0.0,1.0,0.0,1.0,0.0,3.0,-956.4964462568407,-895.5181903692135
0,0.0,1.0,0.0,1.0,1.0,0.0,-824.7701817347626,-775.5006995130983
0,0.0,1.0,0.0,1.0,1.0,1.0,-907.6245085319058,-854.5650661393443
0,0.0,1.0,0.0,1.0,1.0,2.0,-905.0697428835588,-848.2203403200999
0,0.0,1.0,0.0,1.0,1.0,3.0,-905.4343630861036,-844.7950003517476
0,0.0,1.0,0.0,1.0,2.0,0.0,-534.085988985037,-485.097816039718
0,0.0,1.0,0.0,1.0,2.0,1.0,-765.1494786550805,-712.3929847139677
0,0.0,1.0,0.0,1.0,2.0,2.0,-821.3352257909552,-764.8104108540485
0,0.0,1.0,0.0,1.0,2.0,3.0,-824.5928523948453,-764.2997164621449
0,0.0,1.0,1.0,0.0,0.0,0.0,-949.5653014292046,-900.0204685205075
0,0.0,1.0,1.0,0.0,0.0,1.0,-950.6613928758613,-897.3054189741875
0,0.0,1.0,1.0,0.0,0.0,2.0,-949.402536741701,-892.2354218470506
0,0.0,1.0,1.0,0.0,0.0,3.0,-959.903563753925,-898.9253078662978
0,0.0,1.0,1.0,0.0,1.0,0.0,-751.3833647320896,-702.1138825104254
0,0.0,1.0,1.0,0.0,1.0,1.0,-914.5766400777433,-861.5171976851817
0,0.0,1.0,1.0,0.0,1.0,2.0,-912.6774749502824,-855.8280723868236
0,0.0,1.0,1.0,0.0,1.0,3.0,-911.3976062506242,-850.7582435162682
0,0.0,1.0,1.0,0.0,2.0,0.0,-401.36511067187746,-352.3769377265584
0,0.0,1.0,1.0,0.0,2.0,1.0,-699.2201495782209,-646.4636556371081
0,0.0,1.0,1.0,0.0,2.0,2.0,-834.212123076734,-777.6873081398273
0,0.0,1.0,1.0,0.0,2.0,3.0,-832.6792173129098,-772.3860813802095
0,0.0,1.0,1.0,1.0,0.0,0.0,-951.078816458241,-897.7228425565672
0,0.0,1.0,1.0,1.0,0.0,1.0,-956.8842586721662,-899.7171437775157
0,0.0,1.0,1.0,1.0,0.0,2.0,-959.0609382121656,-898.0826823245384
0,0.0,1.0,1.0,1.0,0.0,3.0,-960.1407227128074,-895.3513258322034
0,0.0,1.0,1.0,1.0,1.0,0.0,-829.7945531992673,-776.7351108067057
0,0.0,1.0,1.0,1.0,1.0,1.0,-912.7605986478605,-855.9111960844018
0,0.0,1.0,1.0,1.0,1.0,2.0,-911.0443078573069,-850.4049451229508
0,0.0,1.0,1.0,1.0,1.0,3.0,-911.1860483518722,-846.7567254466188
0,0.0,1.0,1.0,1.0,2.0,0.0,-540.3384738915486,-487.58197995043577
0,0.0,1.0,1.0,1.0,2.0,1.0,-769.4246902616385,-712.899875324732
0,0.0,1.0,1.0,1.0,2.0,2.0,-762.044065712244,-701.7509297795436
0,0.0,1.0,1.0,1.0,2.0,3.0,-831.0849372448349,-767.0234803163407
0,0.0,1.0,2.0,0.0,0.0,0.0,-962.5381745434297,-909.1822006417559
0,0.0,1.0,2.0,0.0,0.0,1.0,-963.3110472853182,-906.1439323906677
0,0.0,1.0,2.0,0.0,0.0,2.0,-961.447847254093,-900.4695913664657
0,0.0,1.0,2.0,0.0,0.0,3.0,-974.117658702324,-909.32826182172
0,0.0,1.0,2.0,0.0,1.0,0.0,-766.9305203760794,-713.8710779835178
0,0.0,1.0,2.0,0.0,1.0,1.0,-924.4642020866551,-867.6147995231963
